,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team
0,2021-03-14,1,1,13:03,とうスタ,藤枝,0,0,福島
1,2021-03-14,1,2,13:03,ニッパツ,富山,1,0,YS横浜
2,2021-03-14,1,3,13:03,夢スタ,熊本,1,0,今治
3,2021-03-14,1,4,13:03,ユニスタ,岩手,1,0,宮崎
4,2021-03-14,1,5,14:03,長良川,八戸,0,0,岐阜
5,2021-03-14,1,6,14:03,ピカスタ,長野,2,0,讃岐
6,2021-03-14,1,7,14:03,白波スタ,鳥取,3,2,鹿児島
0,2021-03-20,2,1,13:03,とうスタ,YS横浜,1,2,福島
1,2021-03-20,2,2,13:03,愛鷹,今治,0,1,沼津
2,2021-03-20,2,3,14:03,えがおＳ,鹿児島,2,2,熊本
3,2021-03-21,2,4,13:03,藤枝サ,岐阜,3,1,藤枝
4,2021-03-21,2,5,13:03,Ａｘｉｓ,岩手,1,1,鳥取
5,2021-03-21,2,6,14:03,長野Ｕ,宮崎,1,1,長野
6,2021-03-21,2,7,14:03,富山,八戸,1,2,富山
0,2021-03-28,3,1,13:03,プラスタ,沼津,0,1,八戸
1,2021-03-28,3,2,13:03,いわスタ,長野,0,0,岩手
2,2021-03-28,3,3,13:03,ニッパツ,熊本,0,0,YS横浜
3,2021-03-28,3,4,13:03,夢スタ,鳥取,0,2,今治
4,2021-03-28,3,5,13:03,白波スタ,福島,0,2,鹿児島
5,2021-03-28,3,6,14:03,長良川,讃岐,0,4,岐阜
6,2021-03-28,3,7,14:03,ユニスタ,富山,1,2,宮崎
0,2021-04-03,4,1,13:03,いわスタ,今治,2,3,岩手
1,2021-04-04,4,2,13:03,愛鷹,YS横浜,0,1,沼津
2,2021-04-04,4,3,14:03,長野Ｕ,八戸,1,1,長野
3,2021-04-04,4,4,14:03,富山,福島,2,2,富山
4,2021-04-04,4,5,14:03,ピカスタ,藤枝,1,0,讃岐
5,2021-04-04,4,6,14:03,えがおＳ,宮崎,2,1,熊本
6,2021-04-21,4,7,19:03,Ａｘｉｓ,岐阜,1,0,鳥取
0,2021-04-10,5,1,13:03,藤枝サ,長野,1,1,藤枝
1,2021-04-11,5,2,13:03,プラスタ,岩手,3,0,八戸
2,2021-04-11,5,3,13:03,とうスタ,熊本,2,1,福島
3,2021-04-11,5,4,13:03,ニッパツ,鹿児島,0,0,YS横浜
4,2021-04-11,5,5,14:03,ピカスタ,富山,3,2,讃岐
5,2021-04-11,5,6,14:03,ユニスタ,鳥取,1,2,宮崎
6,2021-05-05,5,7,16:03,長良川,沼津,1,3,岐阜
0,2021-04-25,6,1,13:03,愛鷹,藤枝,1,1,沼津
1,2021-04-25,6,2,13:03,Ａｘｉｓ,讃岐,0,1,鳥取
2,2021-04-25,6,3,13:03,夢スタ,YS横浜,1,1,今治
3,2021-04-25,6,4,13:05,白波スタ,宮崎,0,1,鹿児島
4,2021-04-25,6,5,14:03,富山,岐阜,0,1,富山
5,2021-04-25,6,6,14:03,えがおＳ,八戸,2,2,熊本
6,2021-05-26,6,7,13:03,とうスタ,岩手,1,2,福島
0,2021-05-01,7,1,13:03,藤枝サ,富山,1,1,藤枝
1,2021-05-01,7,2,15:04,ピカスタ,沼津,0,1,讃岐
2,2021-05-02,7,3,13:03,プラスタ,鳥取,0,2,八戸
3,2021-05-02,7,4,13:03,いわスタ,鹿児島,1,2,岩手
4,2021-05-02,7,5,13:03,ユニスタ,今治,1,2,宮崎
5,2021-05-02,7,6,17:03,長野Ｕ,福島,1,0,長野
6,2021-05-02,7,7,19:03,長良川,熊本,1,0,岐阜
0,2021-05-15,8,1,13:03,白波スタ,藤枝,3,0,鹿児島
1,2021-05-16,8,2,13:03,いわスタ,岐阜,2,0,岩手
2,2021-05-16,8,3,13:03,ニッパツ,宮崎,2,0,YS横浜
3,2021-05-16,8,4,13:03,夢スタ,讃岐,1,1,今治
4,2021-05-16,8,5,14:03,富山,沼津,0,3,富山
5,2021-05-16,8,6,14:03,えがおＳ,長野,0,2,熊本
6,2021-05-16,8,7,14:03,郡山西部,八戸,0,2,福島
0,2021-05-29,9,1,13:03,藤枝サ,熊本,1,0,藤枝
1,2021-05-30,9,2,13:03,プラスタ,今治,1,2,八戸
2,2021-05-30,9,3,13:03,愛鷹,福島,1,0,沼津
3,2021-05-30,9,4,13:03,Ａｘｉｓ,富山,3,0,鳥取
4,2021-05-30,9,5,14:03,ピカスタ,岩手,1,1,讃岐
5,2021-05-30,9,6,16:03,長野Ｕ,鹿児島,2,1,長野
6,2021-05-30,9,7,16:03,長良川,YS横浜,2,1,岐阜
0,2021-06-05,10,1,13:03,ニッパツ,鳥取,1,2,YS横浜
1,2021-06-05,10,2,15:03,夢スタ,長野,0,0,今治
2,2021-06-06,10,3,13:03,とうスタ,岐阜,2,1,福島
3,2021-06-06,10,4,13:03,白波スタ,讃岐,2,1,鹿児島
4,2021-06-06,10,5,13:03,ユニスタ,八戸,0,2,宮崎
5,2021-06-06,10,6,14:03,えがおＳ,沼津,1,0,熊本
6,2021-06-06,10,7,17:03,いわスタ,藤枝,0,4,岩手
0,2021-06-12,11,1,15:03,長良川,宮崎,1,3,岐阜
1,2021-06-13,11,2,13:03,プラスタ,YS横浜,0,3,八戸
2,2021-06-13,11,3,13:03,藤枝サ,今治,1,1,藤枝
3,2021-06-13,11,4,13:03,愛鷹,鹿児島,2,0,沼津
4,2021-06-13,11,5,13:03,チュスタ,長野,8,1,鳥取
5,2021-06-13,11,6,14:03,富山,熊本,1,1,富山
6,2021-06-13,11,7,14:03,ピカスタ,福島,2,1,讃岐
0,2021-06-19,12,1,17:03,いわスタ,沼津,2,3,岩手
1,2021-06-19,12,2,19:03,白波スタ,八戸,0,0,鹿児島
2,2021-06-20,12,3,13:03,ニッパツ,藤枝,3,4,YS横浜
3,2021-06-20,12,4,14:03,長野Ｕ,富山,0,4,長野
4,2021-06-20,12,5,15:03,ユニスタ,讃岐,2,2,宮崎
5,2021-06-20,12,6,16:03,夢スタ,岐阜,0,3,今治
6,2021-06-20,12,7,19:33,えがおＳ,鳥取,1,1,熊本
0,2021-06-26,13,1,17:03,いわスタ,YS横浜,2,0,岩手
1,2021-06-26,13,2,17:03,藤枝サ,宮崎,1,2,藤枝
2,2021-06-26,13,3,18:03,富山,今治,1,1,富山
3,2021-06-26,13,4,18:03,ピカスタ,熊本,2,1,讃岐
4,2021-06-26,13,5,19:03,Ａｘｉｓ,福島,1,0,鳥取
5,2021-06-27,13,6,16:03,愛鷹,長野,1,0,沼津
6,2021-06-27,13,7,19:03,長良川,鹿児島,0,1,岐阜
0,2021-07-03,14,1,16:00,夢スタ,鹿児島,,,今治
1,2021-07-03,14,2,18:00,富山,岩手,,,富山
2,2021-07-03,14,3,19:00,Ａｘｉｓ,沼津,,,鳥取
3,2021-07-04,14,4,13:00,プラスタ,藤枝,,,八戸
4,2021-07-04,14,5,15:00,ニッパツ,讃岐,,,YS横浜
5,2021-07-04,14,6,15:00,ユニスタ,福島,,,宮崎
6,2021-07-04,14,7,19:00,長野Ｕ,岐阜,,,長野
0,2021-07-10,15,1,17:00,藤枝サ,鳥取,,,藤枝
1,2021-07-10,15,2,19:00,プラスタ,讃岐,,,八戸
2,2021-07-10,15,3,19:00,白波スタ,富山,,,鹿児島
3,2021-07-11,15,4,15:00,あいづ,今治,,,福島
4,2021-07-11,15,5,16:00,愛鷹,宮崎,,,沼津
5,2021-07-11,15,6,19:00,長野Ｕ,YS横浜,,,長野
6,2021-07-11,15,7,19:00,えがおＳ,岩手,,,熊本
0,2021-08-28,16,1,17:00,いわスタ,八戸,,,岩手
1,2021-08-28,16,2,18:00,長良川,福島,,,岐阜
2,2021-08-28,16,3,18:00,ピカスタ,鹿児島,,,讃岐
3,2021-08-28,16,4,18:30,富山,藤枝,,,富山
4,2021-08-28,16,5,19:00,Ａｘｉｓ,熊本,,,鳥取
5,2021-08-29,16,6,15:00,ユニスタ,長野,,,宮崎
6,2021-08-29,16,7,16:00,夢スタ,沼津,,,今治
0,2021-09-04,17,1,未定,プラスタ,宮崎,,,八戸
1,2021-09-04,17,2,未定,ニッパツ,岐阜,,,YS横浜
2,2021-09-04,17,3,未定,藤枝サ,讃岐,,,藤枝
3,2021-09-05,17,4,未定,とうスタ,鳥取,,,福島
4,2021-09-05,17,5,未定,長野Ｕ,岩手,,,長野
5,2021-09-05,17,6,未定,愛鷹,富山,,,沼津
6,2021-09-05,17,7,未定,えがおＳ,今治,,,熊本
0,2021-09-11,18,1,未定,富山,長野,,,富山
1,2021-09-11,18,2,未定,長良川,鳥取,,,岐阜
2,2021-09-11,18,3,未定,白波スタ,岩手,,,鹿児島
3,2021-09-12,18,4,未定,とうスタ,沼津,,,福島
4,2021-09-12,18,5,未定,ピカスタ,八戸,,,讃岐
5,2021-09-12,18,6,未定,夢スタ,藤枝,,,今治
6,2021-09-12,18,7,未定,ユニスタ,YS横浜,,,宮崎
0,2021-09-18,19,1,未定,プラスタ,富山,,,八戸
1,2021-09-18,19,2,未定,ニッパツ,今治,,,YS横浜
2,2021-09-18,19,3,未定,Ａｘｉｓ,鹿児島,,,鳥取
3,2021-09-19,19,4,未定,いわスタ,宮崎,,,岩手
4,2021-09-19,19,5,未定,長野Ｕ,熊本,,,長野
5,2021-09-19,19,6,未定,藤枝サ,福島,,,藤枝
6,2021-09-19,19,7,未定,愛鷹,讃岐,,,沼津
0,2021-09-25,20,1,未定,プラスタ,長野,,,八戸
1,2021-09-25,20,2,未定,白波スタ,岐阜,,,鹿児島
2,2021-09-26,20,3,未定,富山,鳥取,,,富山
3,2021-09-26,20,4,未定,ピカスタ,YS横浜,,,讃岐
4,2021-09-26,20,5,未定,夢スタ,岩手,,,今治
5,2021-09-26,20,6,未定,えがおＳ,福島,,,熊本
6,2021-09-26,20,7,未定,ユニスタ,沼津,,,宮崎
0,2021-10-02,21,1,未定,長良川,今治,,,岐阜
1,2021-10-02,21,2,未定,白波スタ,YS横浜,,,鹿児島
2,2021-10-03,21,3,未定,とうスタ,富山,,,福島
3,2021-10-03,21,4,未定,長野Ｕ,讃岐,,,長野
4,2021-10-03,21,5,未定,愛鷹,八戸,,,沼津
5,2021-10-03,21,6,未定,チュスタ,宮崎,,,鳥取
6,2021-10-03,21,7,未定,えがおＳ,藤枝,,,熊本
0,2021-10-09,22,1,未定,いわスタ,鳥取,,,岩手
1,2021-10-09,22,2,未定,ニッパツ,長野,,,YS横浜
2,2021-10-10,22,3,未定,プラスタ,熊本,,,八戸
3,2021-10-10,22,4,未定,とうスタ,鹿児島,,,福島
4,2021-10-10,22,5,未定,藤枝サ,沼津,,,藤枝
5,2021-10-10,22,6,未定,ピカスタ,岐阜,,,讃岐
6,2021-10-10,22,7,未定,夢スタ,宮崎,,,今治
0,2021-10-17,23,1,未定,プラスタ,福島,,,八戸
1,2021-10-17,23,2,未定,長野Ｕ,藤枝,,,長野
2,2021-10-17,23,3,未定,富山,讃岐,,,富山
3,2021-10-17,23,4,未定,長良川,岩手,,,岐阜
4,2021-10-17,23,5,未定,Ａｘｉｓ,YS横浜,,,鳥取
5,2021-10-17,23,6,未定,ユニスタ,鹿児島,,,宮崎
6,,23,7,未定,愛鷹,熊本,,,沼津
0,2021-10-23,24,1,未定,藤枝サ,岩手,,,藤枝
1,2021-10-23,24,2,未定,白波スタ,沼津,,,鹿児島
2,2021-10-24,24,3,未定,とうスタ,宮崎,,,福島
3,2021-10-24,24,4,未定,ニッパツ,八戸,,,YS横浜
4,2021-10-24,24,5,未定,長良川,長野,,,岐阜
5,2021-10-24,24,6,未定,えがおＳ,讃岐,,,熊本
6,,24,7,未定,夢スタ,富山,,,今治
0,2021-10-30,25,1,未定,いわスタ,福島,,,岩手
1,2021-10-30,25,2,未定,富山,YS横浜,,,富山
2,2021-10-31,25,3,未定,長野Ｕ,鳥取,,,長野
3,2021-10-31,25,4,未定,愛鷹,岐阜,,,沼津
4,2021-10-31,25,5,未定,ピカスタ,今治,,,讃岐
5,2021-10-31,25,6,未定,白波スタ,熊本,,,鹿児島
6,2021-10-31,25,7,未定,ユニスタ,藤枝,,,宮崎
0,2021-11-07,26,1,未定,プラスタ,鹿児島,,,八戸
1,2021-11-07,26,2,未定,北上,熊本,,,岩手
2,2021-11-07,26,3,未定,ニッパツ,沼津,,,YS横浜
3,2021-11-07,26,4,未定,長良川,富山,,,岐阜
4,2021-11-07,26,5,未定,Ａｘｉｓ,藤枝,,,鳥取
5,2021-11-07,26,6,未定,夢スタ,福島,,,今治
6,,26,7,未定,未定,宮崎,,,讃岐
0,2021-11-14,27,1,未定,とうスタ,長野,,,福島
1,2021-11-14,27,2,未定,三ツ沢陸,岩手,,,YS横浜
2,2021-11-14,27,3,未定,藤枝サ,八戸,,,藤枝
3,2021-11-14,27,4,未定,愛鷹,鳥取,,,沼津
4,2021-11-14,27,5,未定,えがおＳ,富山,,,熊本
5,2021-11-14,27,6,未定,白波スタ,今治,,,鹿児島
6,2021-11-14,27,7,未定,ユニスタ,岐阜,,,宮崎
0,2021-11-20,28,1,未定,藤枝サ,鹿児島,,,藤枝
1,2021-11-21,28,2,未定,プラスタ,岐阜,,,八戸
2,2021-11-21,28,3,未定,北上,讃岐,,,岩手
3,2021-11-21,28,4,未定,長野Ｕ,沼津,,,長野
4,2021-11-21,28,5,未定,富山,宮崎,,,富山
5,2021-11-21,28,6,未定,Ａｘｉｓ,今治,,,鳥取
6,2021-11-21,28,7,未定,えがおＳ,YS横浜,,,熊本
0,2021-11-28,29,1,未定,いわスタ,富山,,,岩手
1,2021-11-28,29,2,未定,ニッパツ,福島,,,YS横浜
2,2021-11-28,29,3,未定,長良川,藤枝,,,岐阜
3,2021-11-28,29,4,未定,夢スタ,八戸,,,今治
4,2021-11-28,29,5,未定,白波スタ,長野,,,鹿児島
5,2021-11-28,29,6,未定,ユニスタ,熊本,,,宮崎
6,,29,7,未定,未定,鳥取,,,讃岐
0,2021-12-05,30,1,未定,とうスタ,讃岐,,,福島
1,2021-12-05,30,2,未定,長野Ｕ,今治,,,長野
2,2021-12-05,30,3,未定,富山,鹿児島,,,富山
3,2021-12-05,30,4,未定,藤枝サ,YS横浜,,,藤枝
4,2021-12-05,30,5,未定,愛鷹,岩手,,,沼津
5,2021-12-05,30,6,未定,Ａｘｉｓ,八戸,,,鳥取
6,2021-12-05,30,7,未定,えがおＳ,岐阜,,,熊本
